,Latitude,Longitude,Unit,Sub_Type,Gear,Result,Infraction,CFR,Vessel_Type,Main fishing gear,LOA,LBP,Tonnage GT,Other tonnage,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Year of construction,real_local,Local_Name,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,number_infracs,Year,Month,Day,Period,NUTSII_Code
854,37º2´57.64N,8º6´49.83W,Unit_3,Multipurpose,Trammel nets,LEGAL,,CFR_31,MOX,GTR,5.9,,8.1,3.0,50.8,,1.0,1974.0,1974.0,PTFAO,Faro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,13,2,PT15
855,36º57´14.40N,8º4´32.43W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_526,MOX,LLS,6.2,10.0,26.9,11.0,53.6,,3.0,1992.0,1991.0,PTSAG,Sagres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,13,2,PT15
856,37º45´9.55N,26º6´8.41W,Unit_1,Unknown,All,LEGAL,,CFR_527,LL,LLS,9.1,7.1,15.6,31.0,136.8,,3.0,1991.0,1990.0,PTADH,Angra do Heroismo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,18,3,PT20
857,38º5´52.23N,29º5´47.48W,Unit_1,Unknown,All,LEGAL,,CFR_528,LL,LHP,13.7,12.7,32.2,25.0,79.1,,3.0,1991.0,1991.0,PTPDL,Ponta Delgada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,19,2,PT20
858,38º4´59.33N,28º59´59.11W,Unit_1,Unknown,All,LEGAL,,CFR_30,MOX,LHP,8.0,5.7,4.3,,108.3,,3.0,2004.0,2004.0,PTHOR,Horta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,19,3,PT20
859,37º45´28.40N,28º56´7.83W,Unit_1,Unknown,All,LEGAL,,CFR_529,MOX,LHP,11.9,12.1,14.5,,17.3,,1.0,2010.0,2010.0,PTPDL,Ponta Delgada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,19,3,PT20
860,37º38´35.37N,28º56´20.55W,Unit_1,Unknown,All,LEGAL,,CFR_530,LL,LHP,15.3,9.4,41.6,41.0,180.9,,3.0,2006.0,2006.0,PTPRV,Praia da Vitoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,19,3,PT20
861,37º2´35.49N,25º4´56.49W,Unit_1,Unknown,All,LEGAL,,CFR_531,LP,LHP,10.5,10.1,2.9,,54.7,,3.0,2006.0,2006.0,PTVDP,Vila do Porto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,24,2,PT20
862,37º1´6.68N,25º11´41.07W,Unit_1,Unknown,All,LEGAL,,CFR_532,LP,LHP,28.8,,164.4,143.0,350.8,,1.0,1996.0,1996.0,PTHOR,Horta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,24,2,PT20
863,36º35´4.58N,25º25´37.04W,Unit_1,Unknown,All,PRESUM,,CFR_533,LP,LHP,28.8,22.4,140.3,143.0,445.4,,3.0,1992.0,1992.0,PTHOR,Horta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,24,3,PT20
864,36º42´46.31N,25º13´54.28W,Unit_1,Unknown,All,PRESUM,XIV,CFR_534,LP,LHP,30.6,22.3,183.5,139.0,439.5,,2.0,2013.0,2013.0,PTHOR,Horta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,24,4,PT20
865,41º26´25.41N,9º4´31.77W,Unit_21,Gillnet/trammel net,Trammel nets,LEGAL,,NOCFR_536,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,24,3,
866,39º54´49.81N,9º7´13.31W,Unit_21,Multipurpose,Gillnetting,LEGAL,,CFR_535,MOX,GNS,18.1,11.9,51.4,,72.6,10.0,2.0,2016.0,2016.0,PTVIC,Vila do Conde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,25,2,PT11
867,39º39´12.70N,9º14´20.59W,Unit_21,Multipurpose,Gillnetting,LEGAL,,CFR_536,MOX,GNS,21.8,,69.3,52.0,359.4,,1.0,1990.0,1990.0,PTVIC,Vila do Conde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,25,3,PT11
868,39º28´42.32N,9º31´56.50W,Unit_21,Multipurpose,Gillnetting,LEGAL,,CFR_537,MOX,GTR,14.7,17.7,24.4,22.0,206.7,,2.0,2002.0,2002.0,PTPEN,Peniche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,25,4,PT16
869,38º24´3.83N,9º14´56.89W,Unit_13,Longline,Longline,LEGAL,,CFR_538,LL,FPO,14.9,13.6,11.1,28.0,232.6,,1.0,1978.0,1978.0,PTSSB,Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,29,2,PT17
870,39º36´19.85N,9º34´0.63W,Unit_1,Trawl,Trawl,LEGAL,,CFR_453,TTW,OTB,26.7,23.0,236.3,166.0,654.7,,2.0,1995.0,1995.0,PTAVE,Aveiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2,26,2,PT16
871,37º0´51.93N,8º15´16.87W,Unit_3,Multipurpose,Trammel nets,LEGAL,,CFR_539,FX,GTR,7.3,,5.5,2.0,65.5,30.0,3.0,1994.0,1994.0,PTQRT,Quarteira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,15,2,PT15
872,37º6´1.02N,8º36´57.86W,Unit_3,Multipurpose,Traps,PRESUM,XIV,CFR_540,MOX,FPO,9.8,,19.5,4.0,32.2,,1.0,1984.0,1984.0,PTPRM,Portimao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,16,2,PT15
873,37º1´12.97N,8º51´59.73W,Unit_3,Multipurpose,Purse seine,LEGAL,,CFR_541,MOX,PS,10.8,12.1,3.3,14.0,85.7,,3.0,1999.0,1999.0,PTPRM,Portimao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,17,2,PT15
874,36º58´17.88N,8º45´26.76W,Unit_3,Multipurpose,Longline,LEGAL,,CFR_68,MOX,FPO,9.1,,2.9,6.0,4.2,,1.0,1978.0,1978.0,PTSIE,Sines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,18,2,PT18
875,37º6´17.65N,8º37´51.75W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_84,MOX,FPO,7.1,6.2,13.5,,77.2,,3.0,2001.0,2001.0,PTPRM,Portimao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,18,2,PT15
876,37º4´4.58N,8º23´40.65W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_72,MOX,GNS,12.1,7.2,15.4,15.0,96.5,,3.0,2004.0,2004.0,PTPRM,Portimao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,23,2,PT15
877,37º3´5.55N,8º6´59.22W,Unit_3,Multipurpose,Lines,LEGAL,,CFR_46,FX,GNS,7.5,,10.7,2.0,14.8,0.0,3.0,1999.0,1998.0,PTQRT,Quarteira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,24,1,PT15
878,36º56´12.90N,7º54´13.96W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_542,MOX,GNS,11.7,,22.1,6.0,65.7,,1.0,1990.0,1962.0,PTABF,Albufeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,25,2,PT15
879,36º57´3.71N,7º56´6.97W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_364,MOX,FPO,8.8,,9.7,4.0,15.0,,1.0,1959.0,1959.0,PTOLH,Olhao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,25,2,PT15
880,37º1´14.02N,7º38´29.48W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_543,MOX,FPO,5.9,7.2,7.9,5.0,44.7,,3.0,1999.0,1999.0,PTFUZ,Fuzeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,26,2,PT15
881,37º3´4.82N,8º17´11.64W,Unit_3,Multipurpose,Traps,LEGAL,,CFR_544,MOX,FPO,6.2,,4.2,3.0,66.8,,3.0,1998.0,1998.0,PTPRM,Portimao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,27,2,PT15
882,36º50´47.45N,7º59´35.37W,Unit_11,Trawl,Trawl,LEGAL,,CFR_225,TTW,OTB,23.6,16.4,176.0,102.0,409.8,,2.0,1999.0,1999.0,PTVRE,Vila Real de Santo Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,15,3,PT15
883,36º59´41.69N,7º43´44.87W,Unit_11,Multipurpose,Purse seine,PRESUM,XIV,CFR_295,SP,LLS,17.9,16.2,40.3,47.0,188.5,,3.0,2006.0,2006.0,PTVRE,Vila Real de Santo Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,16,4,PT15
884,37º1´4.05N,7º33´46.28W,Unit_11,Trawl,Trawl,LEGAL,,CFR_95,TTW,OTB,17.6,,27.6,29.0,61.5,,1.0,1960.0,1960.0,PTVRE,Vila Real de Santo Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,16,4,PT15
885,36º59´43.90N,7º39´7.21W,Unit_11,Traps,Pots,LEGAL,,CFR_545,MOX,FPO,7.6,5.8,6.0,3.0,17.3,,3.0,2000.0,1999.0,PTFUZ,Fuzeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,17,1,PT15
